Designator,Mid X,Mid Y,Rotation,Layer
BZ1,107.15,-43.175,0.0,top
C1,121.145,-42.6246,270.0,top
C2,121.205,-57.05,180.0,top
C3,119.63,-52.15,0.0,top
C4,122.005,-47.375,0.0,top
D1,114.6,-44.075,90.0,top
D2,122.33,-50.55,90.0,top
D3,121.13,-54.15,0.0,top
D4,121.145,-45.3746,0.0,top
D5,98.575,-47.125,270.0,top
PS1,115.845,-59.03,180.0,top
Q1,102.5,-56.7,180.0,top
Q2,120.67,-37.3996,270.0,top
Q3,115.38,-48.6,90.0,top
Q4,116.945,-37.9996,0.0,top
Q5,116.355,-52.65,90.0,top
Q6,118.93,-49.35,90.0,top
R1,121.895,-40.1246,180.0,top
R2,122.895,-42.6246,270.0,top
R3,114.85,-40.1,270.0,top
R4,116.525,-41.275,90.0,top
R5,113.83,-51.125,270.0,top
R6,113.805,-54.175,270.0,top
R7,117.895,-45.8746,270.0,top
R8,98.3,-39.075,270.0,top
U1,133.3675,-47.9723,0.0,top
U2,118.825,-41.925,180.0,top
